8 января по заказу приобретал планшет расплатился деньгами с банковской картытовар не выдали так как не нашли на складе оформили возврат денег как будто я отказался от заказа самвозврат оформили через полчаса после оплатыденьги на карту должны были придти сразу(так меня уверяют в отделе обратной связи )сегодня уже 17 января деньги так и не вернулись на картувозврат может достигать 30 днейнесмотря на то что с Юлмартом сотрудничаю давно приходится констатировать что отношение к клиенту просто безобразноебольше магазин рекомендовать для покупок никому не могуодин клиент уходит и уводит с собой большую толпу друзейнадо мной уже смеются кому рассказывал о такой покупкемагазин буду обходить сторонойесть выбор не хужеситилинк к примеру х сом и куча других. ,1,42,2
" Если вспомнить ныне умерший РИК и процветающий ныне Ситилинк, Часами стоишь в очереди а потом начинается вынос мозга,куча разных отмазок выкручиваются как могут, множество заполненых бумажек, потом сроки их расмотрения, постоянные к ним поездки всё постоянно переносится. ",4,10,4
" Жаль, что его не было в Ситилинке - я всегда пользуюсь услугами этого магазина - там и цены стабильные, и резервирование товара на более длительный срок. ",1,0,0
